2026-03-25 16:42:35 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991752601, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'yWobnsepxzjRrSDyhYOrui', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437158124}
2026-03-25 16:42:35 | INFO     | trading_bot | Order placed | orderId=12991752601 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:42:35 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 16:42:36 | INFO     | trading_bot | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.01 price=120000.0
2026-03-25 16:42:36 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 120000.0, 'timeInForce': 'GTC', 'timestamp': 1774437156047}
2026-03-25 16:42:37 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991752641, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '6z4mMOtZ9fn9VvwCAcTeuV', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437160069}
2026-03-25 16:42:37 | INFO     | trading_bot | Order placed | orderId=12991752641 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:42:37 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 16:42:37 | INFO     | trading_bot | Placing SELL STOP order | symbol=BTCUSDT qty=0.01 price=79500.0
2026-03-25 16:42:37 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': 0.01, 'stopPrice': 80000.0, 'price': 79500.0, 'timeInForce': 'GTC', 'timestamp': 1774437157782}
2026-03-25 16:42:38 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 400 | body: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'}
2026-03-25 16:42:38 | ERROR    | trading_bot | API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-25 16:42:38 | ERROR    | trading_bot | API error: API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-25 16:46:48 | INFO     | trading_bot | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01
2026-03-25 16:46:48 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1774437408387}
2026-03-25 16:46:49 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991758449, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'BKS8w26cLQ5p7EcoZfZC87', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437412356}
2026-03-25 16:46:49 | INFO     | trading_bot | Order placed | orderId=12991758449 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:46:49 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 16:47:08 | INFO     | trading_bot | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.01 price=120000.0
2026-03-25 16:47:08 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 120000.0, 'timeInForce': 'GTC', 'timestamp': 1774437428459}
2026-03-25 16:47:09 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991758902, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'maaNBssbjj8q0rbROptiRM', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437432422}
2026-03-25 16:47:09 | INFO     | trading_bot | Order placed | orderId=12991758902 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:47:09 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 16:47:21 | INFO     | trading_bot | TWAP order | symbol=BTCUSDT side=BUY total_qty=0.05 slices=3 slice_qty=0.017 interval=5s
2026-03-25 16:47:21 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1774437441367}
2026-03-25 16:47:22 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991759086, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '1AN9YthPAo3Vv0sQpeLXFi', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.017', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437445342}
2026-03-25 16:47:22 | INFO     | trading_bot | TWAP slice 1/3 | orderId=12991759086 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:47:27 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1774437447569}
2026-03-25 16:47:27 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991759156, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'lSHTKSTYAAObRngYtGfWPK', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.017', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437450492}
2026-03-25 16:47:27 | INFO     | trading_bot | TWAP slice 2/3 | orderId=12991759156 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:47:32 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1774437452720}
2026-03-25 16:47:32 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991759239, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'wmFivosGuQeIkmvN1q7Rxp', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.017', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437455637}
2026-03-25 16:47:32 | INFO     | trading_bot | TWAP slice 3/3 | orderId=12991759239 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:47:32 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 16:50:02 | INFO     | trading_bot | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01
2026-03-25 16:50:02 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1774437602127}
2026-03-25 16:50:03 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991762984, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'M8M0GjFeRDA9rm9r8P3jt5', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437606168}
2026-03-25 16:50:03 | INFO     | trading_bot | Order placed | orderId=12991762984 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:50:03 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 16:50:03 | INFO     | trading_bot | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.01 price=120000.0
2026-03-25 16:50:03 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 120000.0, 'timeInForce': 'GTC', 'timestamp': 1774437603915}
2026-03-25 16:50:05 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991763024, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '4iesTpjYy0B0nsjS3sX2ot', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774437608002}
2026-03-25 16:50:05 | INFO     | trading_bot | Order placed | orderId=12991763024 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 16:50:05 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 17:10:26 | INFO     | trading_bot | Placing BUY MARKET order | symbol=BTCUSDT qty=0.01
2026-03-25 17:10:26 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1774438826025}
2026-03-25 17:10:27 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991786693, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'VhtXJh9yifo07s11UKCGK3', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774438829815}
2026-03-25 17:10:27 | INFO     | trading_bot | Order placed | orderId=12991786693 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 17:10:27 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 17:10:27 | INFO     | trading_bot | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.01 price=120000.0
2026-03-25 17:10:27 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 120000.0, 'timeInForce': 'GTC', 'timestamp': 1774438827592}
2026-03-25 17:10:28 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991786709, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '3rzETjC77q9pJFUaYhuqQk', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.010', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774438831216}
2026-03-25 17:10:28 | INFO     | trading_bot | Order placed | orderId=12991786709 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 17:10:28 | INFO     | trading_bot | CLI session completed successfully.
2026-03-25 17:10:29 | INFO     | trading_bot | TWAP order | symbol=BTCUSDT side=BUY total_qty=0.05 slices=3 slice_qty=0.017 interval=5s
2026-03-25 17:10:29 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1774438829061}
2026-03-25 17:10:30 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991786730, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 't4n1j6sWAdG8oSBkeWU4GG', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.017', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774438832771}
2026-03-25 17:10:30 | INFO     | trading_bot | TWAP slice 1/3 | orderId=12991786730 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 17:10:35 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1774438835023}
2026-03-25 17:10:35 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991786798, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'zFrS4aYmnguwRG9sEugRLe', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.017', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774438837937}
2026-03-25 17:10:35 | INFO     | trading_bot | TWAP slice 2/3 | orderId=12991786798 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 17:10:40 | DEBUG    | trading_bot | REQUEST POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.017, 'timestamp': 1774438840186}
2026-03-25 17:10:40 | DEBUG    | trading_bot | RESPONSE /fapi/v1/order | status: 200 | body: {'orderId': 12991786869, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'WnFzT2Egh3eKykAsiu9YyA', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.017', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774438843100}
2026-03-25 17:10:40 | INFO     | trading_bot | TWAP slice 3/3 | orderId=12991786869 status=NEW executedQty=0.000 avgPrice=0.00
2026-03-25 17:10:40 | INFO     | trading_bot | CLI session completed successfully.
